code,code_type,description,code_class
J61,ICD10CM,Pneumoconiosis due to asbestos and other mineral fibers,cpd
J67.9,ICD10CM,Hypersensitivity pneumonitis due to unspecified organic dust,cpd
J68.4,ICD10CM,"Chronic respiratory conditions due to chemicals, gases, fumes and vapors",cpd
J45.991,ICD10CM,Cough variant asthma,cpd
I27.81,ICD10CM,Cor pulmonale (chronic),cpd
J60,ICD10CM,Coalworker's pneumoconiosis,cpd
J67.1,ICD10CM,Bagassosis,cpd
J63.2,ICD10CM,Berylliosis,cpd
J67.2,ICD10CM,Bird fancier's lung,cpd
J40,ICD10CM,"Bronchitis, not specified as acute or chronic",cpd
J66.0,ICD10CM,Byssinosis,cpd
J66.2,ICD10CM,Cannabinosis,cpd
J42,ICD10CM,Unspecified chronic bronchitis,cpd
I27.83,ICD10CM,Eisenmenger's syndrome,cpd
J45.990,ICD10CM,Exercise induced bronchospasm,cpd
J67.0,ICD10CM,Farmer's lung,cpd
J44.9,ICD10CM,"Chronic obstructive pulmonary disease, unspecified",cpd
J43.8,ICD10CM,Other emphysema,cpd
J64,ICD10CM,Unspecified pneumoconiosis,cpd
J43.9,ICD10CM,"Emphysema, unspecified",cpd
I27.9,ICD10CM,"Pulmonary heart disease, unspecified",cpd
J63.4,ICD10CM,Siderosis,cpd
J67.3,ICD10CM,Suberosis,cpd
J41.0,ICD10CM,Simple chronic bronchitis,cpd
J41.1,ICD10CM,Mucopurulent chronic bronchitis,cpd
J67.4,ICD10CM,Maltworker's lung,cpd
J67.5,ICD10CM,Mushroom-worker's lung,cpd
J67.6,ICD10CM,Maple-bark-stripper's lung,cpd
J67.7,ICD10CM,Air conditioner and humidifier lung,cpd
J70.1,ICD10CM,Chronic and other pulmonary manifestations due to radiation,cpd
J43.2,ICD10CM,Centrilobular emphysema,cpd
J62.0,ICD10CM,Pneumoconiosis due to talc dust,cpd
J43.1,ICD10CM,Panlobular emphysema,cpd
J63.1,ICD10CM,Bauxite fibrosis (of lung),cpd
J63.3,ICD10CM,Graphite fibrosis (of lung),cpd
J63.5,ICD10CM,Stannosis,cpd
J63.0,ICD10CM,Aluminosis (of lung),cpd
I27.82,ICD10CM,Chronic pulmonary embolism,cpd
E10.9,ICD10CM,Type 1 diabetes mellitus without complications,diabunc
E11.9,ICD10CM,Type 2 diabetes mellitus without complications,diabunc
E13.9,ICD10CM,Other specified diabetes mellitus without complications,diabunc
E10.10,ICD10CM,Type 1 diabetes mellitus with ketoacidosis without coma,diabunc
E10.11,ICD10CM,Type 1 diabetes mellitus with ketoacidosis with coma,diabunc
E11.00,ICD10CM,Type 2 diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC),diabunc
E11.01,ICD10CM,Type 2 diabetes mellitus with hyperosmolarity with coma,diabunc
E11.10,ICD10CM,Type 2 diabetes mellitus with ketoacidosis without coma,diabunc
E11.11,ICD10CM,Type 2 diabetes mellitus with ketoacidosis with coma,diabunc
E13.00,ICD10CM,Other specified diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC),diabunc
E13.01,ICD10CM,Other specified diabetes mellitus with hyperosmolarity with coma,diabunc
E13.10,ICD10CM,Other specified diabetes mellitus with ketoacidosis without coma,diabunc
E13.11,ICD10CM,Other specified diabetes mellitus with ketoacidosis with coma,diabunc
E10.22,ICD10CM,Type 1 diabetes mellitus with diabetic chronic kidney disease,diabc
E10.29,ICD10CM,Type 1 diabetes mellitus with other diabetic kidney complication,diabc
E10.311,ICD10CM,Type 1 diabetes mellitus with unspecified diabetic retinopathy with macular edema,diabc
E10.319,ICD10CM,Type 1 diabetes mellitus with unspecified diabetic retinopathy without macular edema,diabc
E10.39,ICD10CM,Type 1 diabetes mellitus with other diabetic ophthalmic complication,diabc
E10.40,ICD10CM,"Type 1 diabetes mellitus with diabetic neuropathy, unspecified",diabc
E10.43,ICD10CM,Type 1 diabetes mellitus with diabetic autonomic (poly)neuropathy,diabc
E10.44,ICD10CM,Type 1 diabetes mellitus with diabetic amyotrophy,diabc
E10.49,ICD10CM,Type 1 diabetes mellitus with other diabetic neurological complication,diabc
E10.51,ICD10CM,Type 1 diabetes mellitus with diabetic peripheral angiopathy without gangrene,diabc
E10.52,ICD10CM,Type 1 diabetes mellitus with diabetic peripheral angiopathy with gangrene,diabc
E10.59,ICD10CM,Type 1 diabetes mellitus with other circulatory complications,diabc
E10.610,ICD10CM,Type 1 diabetes mellitus with diabetic neuropathic arthropathy,diabc
E10.618,ICD10CM,Type 1 diabetes mellitus with other diabetic arthropathy,diabc
E10.620,ICD10CM,Type 1 diabetes mellitus with diabetic dermatitis,diabc
E10.621,ICD10CM,Type 1 diabetes mellitus with foot ulcer,diabc
E10.622,ICD10CM,Type 1 diabetes mellitus with other skin ulcer,diabc
E10.628,ICD10CM,Type 1 diabetes mellitus with other skin complications,diabc
E10.630,ICD10CM,Type 1 diabetes mellitus with periodontal disease,diabc
E10.638,ICD10CM,Type 1 diabetes mellitus with other oral complications,diabc
E10.641,ICD10CM,Type 1 diabetes mellitus with hypoglycemia with coma,diabc
E10.649,ICD10CM,Type 1 diabetes mellitus with hypoglycemia without coma,diabc
E10.65,ICD10CM,Type 1 diabetes mellitus with hyperglycemia,diabc
E11.29,ICD10CM,Type 2 diabetes mellitus with other diabetic kidney complication,diabc
E11.311,ICD10CM,Type 2 diabetes mellitus with unspecified diabetic retinopathy with macular edema,diabc
E11.319,ICD10CM,Type 2 diabetes mellitus with unspecified diabetic retinopathy without macular edema,diabc
E11.39,ICD10CM,Type 2 diabetes mellitus with other diabetic ophthalmic complication,diabc
E11.40,ICD10CM,"Type 2 diabetes mellitus with diabetic neuropathy, unspecified",diabc
E11.43,ICD10CM,Type 2 diabetes mellitus with diabetic autonomic (poly)neuropathy,diabc
E11.44,ICD10CM,Type 2 diabetes mellitus with diabetic amyotrophy,diabc
E11.49,ICD10CM,Type 2 diabetes mellitus with other diabetic neurological complication,diabc
E11.51,ICD10CM,Type 2 diabetes mellitus with diabetic peripheral angiopathy without gangrene,diabc
E11.52,ICD10CM,Type 2 diabetes mellitus with diabetic peripheral angiopathy with gangrene,diabc
E11.59,ICD10CM,Type 2 diabetes mellitus with other circulatory complications,diabc
E11.610,ICD10CM,Type 2 diabetes mellitus with diabetic neuropathic arthropathy,diabc
E11.618,ICD10CM,Type 2 diabetes mellitus with other diabetic arthropathy,diabc
E11.620,ICD10CM,Type 2 diabetes mellitus with diabetic dermatitis,diabc
E11.621,ICD10CM,Type 2 diabetes mellitus with foot ulcer,diabc
E11.622,ICD10CM,Type 2 diabetes mellitus with other skin ulcer,diabc
E11.628,ICD10CM,Type 2 diabetes mellitus with other skin complications,diabc
E11.630,ICD10CM,Type 2 diabetes mellitus with periodontal disease,diabc
E11.638,ICD10CM,Type 2 diabetes mellitus with other oral complications,diabc
E11.641,ICD10CM,Type 2 diabetes mellitus with hypoglycemia with coma,diabc
E11.649,ICD10CM,Type 2 diabetes mellitus with hypoglycemia without coma,diabc
E11.65,ICD10CM,Type 2 diabetes mellitus with hyperglycemia,diabc
E13.21,ICD10CM,Other specified diabetes mellitus with diabetic nephropathy,diabc
E13.22,ICD10CM,Other specified diabetes mellitus with diabetic chronic kidney disease,diabc
E13.29,ICD10CM,Other specified diabetes mellitus with other diabetic kidney complication,diabc
E13.311,ICD10CM,Other specified diabetes mellitus with unspecified diabetic retinopathy with macular edema,diabc
E13.319,ICD10CM,Other specified diabetes mellitus with unspecified diabetic retinopathy without macular edema,diabc
E13.39,ICD10CM,Other specified diabetes mellitus with other diabetic ophthalmic complication,diabc
E13.40,ICD10CM,"Other specified diabetes mellitus with diabetic neuropathy, unspecified",diabc
E13.43,ICD10CM,Other specified diabetes mellitus with diabetic autonomic (poly)neuropathy,diabc
E13.44,ICD10CM,Other specified diabetes mellitus with diabetic amyotrophy,diabc
E13.49,ICD10CM,Other specified diabetes mellitus with other diabetic neurological complication,diabc
E13.51,ICD10CM,Other specified diabetes mellitus with diabetic peripheral angiopathy without gangrene,diabc
E13.52,ICD10CM,Other specified diabetes mellitus with diabetic peripheral angiopathy with gangrene,diabc
E13.59,ICD10CM,Other specified diabetes mellitus with other circulatory complications,diabc
E13.610,ICD10CM,Other specified diabetes mellitus with diabetic neuropathic arthropathy,diabc
E13.618,ICD10CM,Other specified diabetes mellitus with other diabetic arthropathy,diabc
E13.620,ICD10CM,Other specified diabetes mellitus with diabetic dermatitis,diabc
E13.621,ICD10CM,Other specified diabetes mellitus with foot ulcer,diabc
E13.622,ICD10CM,Other specified diabetes mellitus with other skin ulcer,diabc
E13.628,ICD10CM,Other specified diabetes mellitus with other skin complications,diabc
E13.630,ICD10CM,Other specified diabetes mellitus with periodontal disease,diabc
E13.638,ICD10CM,Other specified diabetes mellitus with other oral complications,diabc
E13.641,ICD10CM,Other specified diabetes mellitus with hypoglycemia with coma,diabc
E13.649,ICD10CM,Other specified diabetes mellitus with hypoglycemia without coma,diabc
E13.65,ICD10CM,Other specified diabetes mellitus with hyperglycemia,diabc
E10.3211,ICD10CM,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, right eye",diabc
E10.3212,ICD10CM,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, left eye",diabc
E10.3213,ICD10CM,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, bilateral",diabc
E10.3219,ICD10CM,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye",diabc
E10.3291,ICD10CM,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, right eye",diabc
E10.3292,ICD10CM,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, left eye",diabc
E10.3293,ICD10CM,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, bilateral",diabc
E10.3299,ICD10CM,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, unspecified eye",diabc
E10.3311,ICD10CM,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, right eye",diabc
E10.3312,ICD10CM,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, left eye",diabc
E10.3313,ICD10CM,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, bilateral",diabc
E10.3319,ICD10CM,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye",diabc
E10.3391,ICD10CM,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, right eye",diabc
E10.3392,ICD10CM,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, left eye",diabc
E10.3393,ICD10CM,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, bilateral",diabc
E10.3399,ICD10CM,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, unspecified eye",diabc
E10.3411,ICD10CM,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, right eye",diabc
E10.3412,ICD10CM,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, left eye",diabc
E10.3413,ICD10CM,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, bilateral",diabc
E10.3419,ICD10CM,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye",diabc
E10.3491,ICD10CM,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, right eye",diabc
E10.3492,ICD10CM,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, left eye",diabc
E10.3493,ICD10CM,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, bilateral",diabc
E10.3499,ICD10CM,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, unspecified eye",diabc
E10.3511,ICD10CM,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, right eye",diabc
E10.3512,ICD10CM,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, left eye",diabc
E10.3513,ICD10CM,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral",diabc
E10.3519,ICD10CM,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, unspecified eye",diabc
E10.3521,ICD10CM,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye",diabc
E10.3522,ICD10CM,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye",diabc
E10.3523,ICD10CM,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral",diabc
E10.3529,ICD10CM,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye",diabc
E10.3531,ICD10CM,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye",diabc
E10.3532,ICD10CM,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye",diabc
E10.3533,ICD10CM,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral",diabc
E10.3539,ICD10CM,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye",diabc
E10.3541,ICD10CM,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye",diabc
E10.3542,ICD10CM,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye",diabc
E10.3543,ICD10CM,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, bilateral",diabc
E10.3549,ICD10CM,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye",diabc
E10.3551,ICD10CM,"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, right eye",diabc
E10.3552,ICD10CM,"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, left eye",diabc
E10.3553,ICD10CM,"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, bilateral",diabc
E10.3559,ICD10CM,"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, unspecified eye",diabc
E10.3591,ICD10CM,"Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, right eye",diabc
E10.3592,ICD10CM,"Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, left eye",diabc
E10.3593,ICD10CM,"Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, bilateral",diabc
E10.3599,ICD10CM,"Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, unspecified eye",diabc
E10.37X1,ICD10CM,"Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, right eye",diabc
E10.37X2,ICD10CM,"Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, left eye",diabc
E10.37X3,ICD10CM,"Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, bilateral",diabc
E10.37X9,ICD10CM,"Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, unspecified eye",diabc
E11.3211,ICD10CM,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, right eye",diabc
E11.3212,ICD10CM,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, left eye",diabc
E11.3213,ICD10CM,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, bilateral",diabc
E11.3219,ICD10CM,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye",diabc
E11.3291,ICD10CM,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, right eye",diabc
E11.3292,ICD10CM,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, left eye",diabc
E11.3293,ICD10CM,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, bilateral",diabc
E11.3299,ICD10CM,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, unspecified eye",diabc
E11.3311,ICD10CM,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, right eye",diabc
E11.3312,ICD10CM,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, left eye",diabc
E11.3313,ICD10CM,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, bilateral",diabc
E11.3319,ICD10CM,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye",diabc
E11.3391,ICD10CM,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, right eye",diabc
E11.3392,ICD10CM,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, left eye",diabc
E11.3393,ICD10CM,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, bilateral",diabc
E11.3399,ICD10CM,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, unspecified eye",diabc
E11.3411,ICD10CM,"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, right eye",diabc
E11.3412,ICD10CM,"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, left eye",diabc
E11.3413,ICD10CM,"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, bilateral",diabc
E11.3419,ICD10CM,"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye",diabc
E11.3491,ICD10CM,"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, right eye",diabc
E11.3492,ICD10CM,"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, left eye",diabc
E11.3493,ICD10CM,"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, bilateral",diabc
E11.3499,ICD10CM,"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, unspecified eye",diabc
E11.3511,ICD10CM,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema, right eye",diabc
E11.3512,ICD10CM,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema, left eye",diabc
E11.3513,ICD10CM,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral",diabc
E11.3519,ICD10CM,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema, unspecified eye",diabc
E11.3521,ICD10CM,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye",diabc
E11.3522,ICD10CM,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye",diabc
E11.3523,ICD10CM,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral",diabc
E11.3529,ICD10CM,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye",diabc
E11.3531,ICD10CM,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye",diabc
E11.3532,ICD10CM,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye",diabc
E11.3533,ICD10CM,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral",diabc
E11.3539,ICD10CM,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye",diabc
E11.3541,ICD10CM,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye",diabc
E11.3542,ICD10CM,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye",diabc
E11.3543,ICD10CM,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, bilateral",diabc
E11.3549,ICD10CM,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye",diabc
E11.3551,ICD10CM,"Type 2 diabetes mellitus with stable proliferative diabetic retinopathy, right eye",diabc
E11.3552,ICD10CM,"Type 2 diabetes mellitus with stable proliferative diabetic retinopathy, left eye",diabc
E11.3553,ICD10CM,"Type 2 diabetes mellitus with stable proliferative diabetic retinopathy, bilateral",diabc
E11.3559,ICD10CM,"Type 2 diabetes mellitus with stable proliferative diabetic retinopathy, unspecified eye",diabc
E11.3591,ICD10CM,"Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, right eye",diabc
E11.3592,ICD10CM,"Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, left eye",diabc
E11.3593,ICD10CM,"Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, bilateral",diabc
E11.3599,ICD10CM,"Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, unspecified eye",diabc
E11.37X1,ICD10CM,"Type 2 diabetes mellitus with diabetic macular edema, resolved following treatment, right eye",diabc
E11.37X2,ICD10CM,"Type 2 diabetes mellitus with diabetic macular edema, resolved following treatment, left eye",diabc
E11.37X3,ICD10CM,"Type 2 diabetes mellitus with diabetic macular edema, resolved following treatment, bilateral",diabc
E11.37X9,ICD10CM,"Type 2 diabetes mellitus with diabetic macular edema, resolved following treatment, unspecified eye",diabc
E13.3211,ICD10CM,"Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, right eye",diabc
E13.3212,ICD10CM,"Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, left eye",diabc
E13.3213,ICD10CM,"Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, bilateral",diabc
E13.3219,ICD10CM,"Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye",diabc
E13.3291,ICD10CM,"Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, right eye",diabc
E13.3292,ICD10CM,"Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, left eye",diabc
E13.3293,ICD10CM,"Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, bilateral",diabc
E13.3299,ICD10CM,"Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, unspecified eye",diabc
E13.3311,ICD10CM,"Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, right eye",diabc
E13.3312,ICD10CM,"Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, left eye",diabc
E13.3313,ICD10CM,"Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, bilateral",diabc
E13.3319,ICD10CM,"Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye",diabc
E13.3391,ICD10CM,"Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, right eye",diabc
E13.3392,ICD10CM,"Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, left eye",diabc
E13.3393,ICD10CM,"Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, bilateral",diabc
E13.3399,ICD10CM,"Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, unspecified eye",diabc
E13.3411,ICD10CM,"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, right eye",diabc
E13.3412,ICD10CM,"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, left eye",diabc
E13.3413,ICD10CM,"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, bilateral",diabc
E13.3419,ICD10CM,"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye",diabc
E13.3491,ICD10CM,"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, right eye",diabc
E13.3492,ICD10CM,"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, left eye",diabc
E13.3493,ICD10CM,"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, bilateral",diabc
E13.3499,ICD10CM,"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, unspecified eye",diabc
E13.3511,ICD10CM,"Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema, right eye",diabc
E13.3512,ICD10CM,"Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema, left eye",diabc
E13.3513,ICD10CM,"Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral",diabc
E13.3519,ICD10CM,"Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema, unspecified eye",diabc
E13.3521,ICD10CM,"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye",diabc
E13.3522,ICD10CM,"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye",diabc
E13.3523,ICD10CM,"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral",diabc
E13.3529,ICD10CM,"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye",diabc
E13.3531,ICD10CM,"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye",diabc
E13.3532,ICD10CM,"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye",diabc
E13.3533,ICD10CM,"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral",diabc
E13.3539,ICD10CM,"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye",diabc
E13.3541,ICD10CM,"Other specified diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye",diabc
E13.3542,ICD10CM,"Other specified diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye",diabc
E13.3543,ICD10CM,"Other specified diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, bilateral",diabc
E13.3549,ICD10CM,"Other specified diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye",diabc
E13.3551,ICD10CM,"Other specified diabetes mellitus with stable proliferative diabetic retinopathy, right eye",diabc
E13.3552,ICD10CM,"Other specified diabetes mellitus with stable proliferative diabetic retinopathy, left eye",diabc
E13.3553,ICD10CM,"Other specified diabetes mellitus with stable proliferative diabetic retinopathy, bilateral",diabc
E13.3559,ICD10CM,"Other specified diabetes mellitus with stable proliferative diabetic retinopathy, unspecified eye",diabc
E13.3591,ICD10CM,"Other specified diabetes mellitus with proliferative diabetic retinopathy without macular edema, right eye",diabc
E13.3592,ICD10CM,"Other specified diabetes mellitus with proliferative diabetic retinopathy without macular edema, left eye",diabc
E13.3593,ICD10CM,"Other specified diabetes mellitus with proliferative diabetic retinopathy without macular edema, bilateral",diabc
E13.3599,ICD10CM,"Other specified diabetes mellitus with proliferative diabetic retinopathy without macular edema, unspecified eye",diabc
E13.37X1,ICD10CM,"Other specified diabetes mellitus with diabetic macular edema, resolved following treatment, right eye",diabc
E13.37X2,ICD10CM,"Other specified diabetes mellitus with diabetic macular edema, resolved following treatment, left eye",diabc
E13.37X3,ICD10CM,"Other specified diabetes mellitus with diabetic macular edema, resolved following treatment, bilateral",diabc
E13.37X9,ICD10CM,"Other specified diabetes mellitus with diabetic macular edema, resolved following treatment, unspecified eye",diabc
